City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Whitehorse,CA,60.7161,-135.0538,23.77,74,100,10.36,overcast clouds
120,Turan,VN,16.0678,108.2208,73.38,68,75,3.44,broken clouds
121,Kalanguy,RU,51.0167,116.5167,-4.04,84,60,2.39,broken clouds
122,Viedma,AR,-40.8135,-62.9967,77.76,18,0,11.88,clear sky
123,Bandarbeyla,SO,9.4942,50.8122,75.07,69,93,15.73,overcast clouds
124,Morehead,US,37.2711,-87.1764,30.15,78,75,9.22,broken clouds
125,Turukhansk,RU,65.8167,87.9833,-4.31,86,36,12.53,scattered clouds
126,Aranos,NA,-24.1333,19.1167,69.66,70,100,5.44,overcast clouds
127,Yellowknife,CA,62.456,-114.3525,-21.59,87,20,2.3,few clouds
128,Eagle Pass,US,28.7091,-100.4995,52.27,37,51,9.22,broken clouds
129,Mareeba,AU,-17.0,145.4333,85.44,61,57,7.99,broken clouds
130,Dingolfing,DE,48.6333,12.5,34.07,76,1,5.37,clear sky
131,Borogontsy,RU,62.6683,131.1683,-18.94,89,60,0.92,broken clouds
132,Lazaro Cardenas,MX,17.9583,-102.2,75.58,72,90,4.52,overcast clouds
133,Margate,GB,51.3813,1.3862,46.96,85,100,5.99,light rain
134,San Vicente,AR,-26.6167,-54.1333,65.08,74,0,3.13,light rain
135,Yarmouth,US,41.7057,-70.2286,33.96,92,100,12.66,snow
136,Hami,CN,42.8,93.45,28.87,39,17,7.61,few clouds
137,Pevek,RU,69.7008,170.3133,-16.67,98,100,8.01,overcast clouds
138,Kodarma,IN,24.4667,85.6,65.61,34,0,4.43,clear sky
139,Arraial Do Cabo,BR,-22.9661,-42.0278,75.07,93,9,15.28,clear sky
140,Bredasdorp,ZA,-34.5322,20.0403,65.52,77,100,5.75,overcast clouds
141,Kaohsiung,TW,22.6163,120.3133,68.04,74,75,9.22,broken clouds
142,Birao,CF,10.2849,22.7882,68.29,14,98,7.81,overcast clouds
